Char,score,score2,score3,score4
◆,0.556,2.78,1.668,-0.444
♌,0.556,2.78,1.668,-0.444
🚐,0.556,2.78,1.668,-0.444
✘,0.556,2.78,1.668,-0.444
😃,0.557,2.785,1.671,-0.443
🌞,0.558,2.79,1.674,-0.442
🐏,0.558,2.79,1.674,-0.442
🙌,0.559,2.795,1.677,-0.441
💎,0.561,2.805,1.683,-0.439
👌,0.563,2.815,1.689,-0.437
🎓,0.563,2.815,1.689,-0.437
🌒,0.563,2.815,1.689,-0.437
🐪,0.563,2.815,1.689,-0.437
😀,0.568,2.84,1.704,-0.432
🌻,0.57,2.85,1.71,-0.43
😽,0.571,2.855,1.713,-0.429
⚓,0.571,2.855,1.713,-0.429
🌱,0.571,2.855,1.713,-0.429
👚,0.571,2.855,1.713,-0.429
🚣,0.571,2.855,1.713,-0.429
🗻,0.571,2.855,1.713,-0.429
🏊,0.575,2.875,1.725,-0.425
🐶,0.576,2.88,1.728,-0.424
🇹,0.579,2.895,1.737,-0.421
🌘,0.579,2.895,1.737,-0.421
🌔,0.579,2.895,1.737,-0.421
⭐,0.58,2.9,1.74,-0.42
¦,0.581,2.905,1.743,-0.419
🎺,0.583,2.915,1.749,-0.417
🐥,0.586,2.93,1.758,-0.414
🐰,0.586,2.93,1.758,-0.414
😇,0.587,2.935,1.761,-0.413
🐮,0.587,2.935,1.761,-0.413
🌙,0.59,2.95,1.77,-0.41
🌓,0.591,2.955,1.773,-0.409
🌍,0.592,2.96,1.776,-0.408
🎃,0.595,2.975,1.785,-0.405
🇮,0.595,2.975,1.785,-0.405
🍉,0.597,2.985,1.791,-0.403
🌹,0.6,3,1.8,-0.4
🚿,0.6,3,1.8,-0.4
💡,0.6,3,1.8,-0.4
❅,0.6,3,1.8,-0.4
😛,0.601,3.005,1.803,-0.399
👸,0.605,3.025,1.815,-0.395
🐾,0.605,3.025,1.815,-0.395
🇩,0.611,3.055,1.833,-0.389
💿,0.611,3.055,1.833,-0.389
😗,0.611,3.055,1.833,-0.389
🌗,0.611,3.055,1.833,-0.389
🌖,0.611,3.055,1.833,-0.389
🎂,0.613,3.065,1.839,-0.387
📴,0.615,3.075,1.845,-0.385
◢,0.615,3.075,1.845,-0.385
⚽,0.616,3.08,1.848,-0.384
🇪,0.616,3.08,1.848,-0.384
😻,0.619,3.095,1.857,-0.381
👳,0.619,3.095,1.857,-0.381
🎀,0.629,3.145,1.887,-0.371
😋,0.631,3.155,1.893,-0.369
💕,0.632,3.16,1.896,-0.368
⛳,0.636,3.18,1.908,-0.364
🚨,0.638,3.19,1.914,-0.362
😊,0.644,3.22,1.932,-0.356
💝,0.644,3.22,1.932,-0.356
↾,0.646,3.23,1.938,-0.354
🐌,0.647,3.235,1.941,-0.353
🎷,0.647,3.235,1.941,-0.353
↿,0.648,3.24,1.944,-0.352
🌸,0.65,3.25,1.95,-0.35
💜,0.654,3.27,1.962,-0.346
💚,0.656,3.28,1.968,-0.344
♥,0.657,3.285,1.971,-0.343
☺,0.657,3.285,1.971,-0.343
💗,0.657,3.285,1.971,-0.343
🚴,0.657,3.285,1.971,-0.343
🍹,0.659,3.295,1.977,-0.341
💑,0.659,3.295,1.977,-0.341
💓,0.664,3.32,1.992,-0.336
🇷,0.667,3.335,2.001,-0.333
📄,0.667,3.335,2.001,-0.333
🚳,0.667,3.335,2.001,-0.333
♡,0.669,3.345,2.007,-0.331
🍓,0.67,3.35,2.01,-0.33
😍,0.678,3.39,2.034,-0.322
🎇,0.68,3.4,2.04,-0.32
💟,0.682,3.41,2.046,-0.318
💘,0.683,3.415,2.049,-0.317
🐭,0.688,3.44,2.064,-0.312
🐟,0.689,3.445,2.067,-0.311
🚹,0.69,3.45,2.07,-0.31
💋,0.691,3.455,2.073,-0.309
👑,0.694,3.47,2.082,-0.306
🚜,0.7,3.5,2.1,-0.3
😘,0.701,3.505,2.103,-0.299
💛,0.709,3.545,2.127,-0.291
🎆,0.709,3.545,2.127,-0.291
😚,0.71,3.55,2.13,-0.29
💖,0.712,3.56,2.136,-0.288
🎈,0.718,3.59,2.154,-0.282
🎊,0.721,3.605,2.163,-0.279
🏆,0.726,3.63,2.178,-0.274
💙,0.73,3.65,2.19,-0.27
💃,0.734,3.67,2.202,-0.266
💐,0.735,3.675,2.205,-0.265
🎉,0.738,3.69,2.214,-0.262
💞,0.739,3.695,2.217,-0.261
❤,0.746,3.73,2.238,-0.254
🆔,0.75,3.75,2.25,-0.25
◤,0.75,3.75,2.25,-0.25
🎁,0.759,3.795,2.277,-0.241
🔔,0.769,3.845,2.307,-0.231
😙,0.778,3.89,2.334,-0.222
🌼,0.779,3.895,2.337,-0.221
✰,0.793,3.965,2.379,-0.207
🏧,0.8,4,2.4,-0.2
🔅,0.833,4.165,2.499,-0.167
♨,0.871,4.355,2.613,-0.129
▃,0.903,4.515,2.709,-0.097
🎎,0.907,4.535,2.721,-0.093
┊,0.958,4.79,2.874,-0.042
