word,score
crude,-2
crudely,-2
crudeness,-2
cruder,-2
crudest,-2
cruel,-4
crueler,-4
cruelest,-4
crueller,-4
cruellest,-4
cruelly,-4
cruelness,-4
cruelties,-4
cruelty,-4
crushed,-1
cry,-4
crying,-4
cryings,-4
cryogenic,-4
cryogenics,-4
cryostat,-4
crypt,-4
cryptanalysis,-4
cryptanalyst,-4
cryptanalytic,-4
cryptic,-4
cryptically,-4
cryptogram,-4
cryptographer,-4
cryptographers,-4
cryptographic,-4
cryptographically,-4
cryptography,-4
cryptology,-4
crypts,-4
crystal,-4
crystalclear,-4
crystalline,-4
crystallisation,-4
crystallise,-4
crystallised,-4
crystallises,-4
crystallising,-4
crystallographer,-4
crystallographers,-4
crystallographic,-4
crystallography,-4
crystals,-4
crying,-4
cryings,-4
cute,2
cutely,2
cuteness,2
cutest,2
cynic,-2
cynical,-2
cynically,-2
cynicism,-2
cynics,-2
damage,-1
damaged,-1
damages,-1
damaging,-1
damagingly,-1
damn,-1
damnable,-1
damnably,-1
damnation,-1
damned,-1
damnify,-1
damning,-1
damningly,-1
damns,-1
danger,-1
dangerous,-1
dangerously,-1
dangerousness,-1
dangers,-1
daring,1
daringly,1
darling,3
darlings,3
daze,-2
dazed,-2
dazedly,-2
dear,2
dearer,2
dearest,2
dearie,2
dearies,2
dearly,2
dearness,2
dears,2
dearth,2
deary,2
decay,-1
decayed,-1
decaying,-1
decays,-1
defeat,-1
defeated,-1
defeater,-1
defeating,-1
defeatism,-1
defeatist,-1
defeats,-1
defect,-1
defected,-1
defecting,-1
defection,-1
defections,-1
defective,-1
defectiveness,-1
defectives,-1
defector,-1
defectors,-1
defects,-1
defence,-1
defenceless,-1
defencelessness,-1
defences,-1
degradable,-2
degradation,-2
degradations,-2
degrade,-2
degraded,-2
degrades,-2
degrading,-2
delectable,3
delicious,3
deliciously,3
delight,3
delighted,3
delightedly,3
delightful,3
delightfully,3
delighting,3
delights,3
depress,-4
depressant,-4
depressants,-4
depressed,-4
depresses,-4
depressing,-4
depressingly,-4
depression,-4
depressions,-4
depressive,-4
depressives,-4
deprivation,-1
deprivations,-1
deprive,-1
deprived,-1
deprives,-1
depriving,-1
despair,-4
despaired,-4
despairing,-4
despairingly,-4
despairs,-4
desperate,-3
desperately,-3
desperation,-3
despisal,-4
despise,-4
despised,-4
despises,-4
despising,-4
destroy,-3
destroyable,-3
destroyed,-3
destroyer,-3
destroyers,-3
destroying,-3
destroys,-3
destruct,-1
destruction,-1
destructive,-1
destructively,-1
destructiveness,-1
determinable,1
determinacy,1
determinant,1
determinants,1
determinate,1
determinately,1
determination,1
determinations,1
determinative,1
determined,1
determinedly,1
devastate,-3
devastated,-3
devastating,-3
devastatingly,-3
devastation,-3
devil,-1
devilish,-1
devilishly,-1
devilled,-1
devilment,-1
devilry,-1
devils,-1
devote,3
devoted,3
devotedly,3
devotedness,3
devotee,3
devotees,3
devotes,3
devoting,3
devotion,3
devotional,3
devotions,3
difficult,-1
difficulties,-1
difficulty,-1
dignified,2
dignify,2
dignifying,2
dignitaries,2
dignitary,2
dignities,2
dignity,2
disadvantage,-2
disadvantaged,-2
disadvantageous,-2
disadvantageously,-2
disadvantages,-2
disagree,-2
disagreeable,-2
disagreeably,-2
disagreed,-2
disagreeing,-2
disagreement,-2
disagreements,-2
disagrees,-2
disappoint,-2
disappointed,-2
disappointing,-2
disappointingly,-2
disappointment,-2
disappointments,-2
disappoints,-2
disaster,-1
disasters,-1
discomfort,-2
discomforting,-2
discomforts,-2
discourage,-1
discouraged,-1
discouragement,-1
discouragements,-1
discourages,-1
discouraging,-1
discouragingly,-1
disgust,-4
disgusted,-4
disgustedly,-4
disgusting,-4
disgustingly,-4
disgusts,-4
disheartened,-2
disheartening,-2
disillusion,-2
disillusioned,-2
disillusioning,-2
disillusionment,-2
dislike,-3
disliked,-3
dislikes,-3
disliked,-3
dislikes,-3
disliking,-3
dismay,-3
dismayed,-3
dismaying,-3
dismays,-3
dissatisfaction,-2
dissatisfactions,-2
dissatisfied,-2
dissatisfies,-2
dissatisfy,-2
dissatisfying,-2
distract,-1
distracted,-1
distractedly,-1
distractedness,-1
distracting,-1
distractingly,-1
distraction,-1
distractions,-1
distracts,-1
distraught,-4
distress,-3
distressed,-3
distresses,-3
distressing,-3
distressingly,-3
distrust,-2
distrusted,-2
distrustful,-2
distrustfully,-2
distrusting,-2
distrusts,-2
disturb,-1
disturbance,-1
disturbances,-1
disturbed,-1
disturbing,-1
disturbingly,-1
disturbs,-1
divination,2
divine,2
divined,2
divinely,2
diviner,2
divines,2
divinest,2
diving,2
divining,2
divinities,2
divinity,2
doom,-2
doomed,-2
dooming,-2
dooms,-2
doomsday,-2
doubt,-2
doubted,-2
doubter,-2
doubters,-2
doubtful,-2
doubtfully,-2
doubting,-2
doubtingly,-2
doubtless,-2
doubtlessly,-2
doubts,-2
dread,-4
dreaded,-4
dreadful,-4
dreadfully,-4
dreadfulness,-4
dreading,-4
dreadlocks,-4
dreadnought,-4
dreads,-4
dull,-2
dullard,-2
dullards,-2
dulled,-2
duller,-2
dullest,-2
dulling,-2
dullness,-2
dulls,-2
dully,-2
dumb,-1
dumbbell,-1
dumber,-1
dumbest,-1
dumbfound,-1
dumbfounded,-1
dumbfounding,-1
dumbfounds,-1
dumbly,-1
dumbness,-1
dumbstruck,-1
dump,-1
dumped,-1
dumper,-1
dumping,-1
dumpling,-1
dumplings,-1
dumps,-1
dumpy,-1
dwell,-1
dwelled,-1
dweller,-1
dwellers,-1
dwelling,-1
dwellings,-1
dwells,-1
dynamic,1
dynamical,1
dynamically,1
dynamics,1
dynamism,1
dynamite,1
dynamited,1
dynamo,1
eager,1
eagerly,1
eagerness,1
ease,1
eased,1
easel,1
easels,1
easement,1
easements,1
eases,1
easier,1
easiest,1
easily,1
easiness,1
easing,1
easy,1
easygoing,1
ecstasies,4
ecstasy,4
ecstatic,4
ecstatically,4
egotism,-3
egotist,-3
egotistic,-3
egotistical,-3
egotistically,-3
egotists,-3
elegance,2
elegant,2
elegantly,2
embarrass,-3
embarrassed,-3
embarrassedly,-3
embarrasses,-3
embarrassing,-3
embarrassingly,-3
embarrassment,-3
embarrassments,-3
emotional,-2
emptied,-1
emptier,-1
empties,-1
emptiest,-1
emptily,-1
emptiness,-1
empty,-1
emptyhanded,-1
emptying,-1
encourage,2
encouraged,2
encouragement,2
encouragements,2
encourager,2
encourages,2
encouraging,2
encouragingly,2
enemies,-2
enemy,-2
energetic,1
energetically,1
energetics,1
energies,1
energise,1
energised,1
energiser,1
energisers,1
energising,1
energy,1
engage,1
engaged,1
engagement,1
engagements,1
engages,1
engaging,1
engagingly,1
enjoy,3
enjoyability,3
enjoyable,3
enjoyably,3
enjoyed,3
enjoyer,3
enjoying,3
enjoyment,3
enjoyments,3
enjoys,3
enrage,-4
enraged,-4
enrages,-4
enraging,-4
enthuse,3
enthused,3
enthuses,3
enthusiasm,3
enthusiasms,3
enthusiast,3
enthusiastic,3
enthusiastically,3
enthusiasts,3
enthusing,3
envied,-3
envies,-3
envious,-3
envy,-3
envying,-3
evil,-3
evildoer,-3
evilly,-3
evilness,-3
evils,-3
excel,2
excelled,2
excellence,2
excellencies,2
excellency,2
excellent,2
excellently,2
excelling,2
excels,2
excelsior,2
excitability,3
excitable,3
excitation,3
excitations,3
excite,3
excited,3
excitedly,3
excitement,3
excitements,3
excites,3
exciting,3
excitingly,3
exciton,3
excruciating,-5
excruciatingly,-5
excruciation,-5
exhaust,-2
exhausted,-2
exhaustible,-2
exhausting,-2
exhaustion,-2
exhaustive,-2
exhaustively,-2
exhausts,-2
fab,3
fabulous,3
